Date,Open,High,Low,Close,Adj Close,Volume,Stock
2020-08-13,1067.949951,1071.349976,1056.5,1059.050049,1054.486206,9946370.0,HDFC
2020-08-14,1065.900024,1065.900024,1027.300049,1034.449951,1029.9921880000002,10462256.0,HDFC
2020-08-17,1047.0,1047.0,1020.2000119999999,1032.75,1028.299561,9780506.0,HDFC
2020-08-18,1028.0,1061.650024,1022.0,1056.5,1051.947144,12020412.0,HDFC
2020-08-19,1065.0,1069.800049,1056.25,1066.599976,1062.0036619999998,8857812.0,HDFC
2020-08-20,1054.949951,1068.949951,1052.0,1059.0,1054.436401,9608367.0,HDFC
2020-08-21,1065.400024,1088.800049,1064.599976,1085.650024,1080.971558,14462151.0,HDFC
2020-08-24,1086.0,1122.949951,1085.650024,1117.050049,1112.236328,18389870.0,HDFC
2020-08-25,1119.0,1127.0,1106.199951,1119.699951,1114.8747560000002,13800869.0,HDFC
2020-08-26,1121.0,1131.75,1109.5,1118.449951,1113.630127,12595031.0,HDFC
2020-08-27,1125.800049,1129.900024,1106.25,1112.099976,1107.307495,10322998.0,HDFC
2020-08-28,1111.949951,1125.0,1095.0,1114.5,1109.6972660000001,19348305.0,HDFC
2020-08-31,1129.5,1148.800049,1100.699951,1115.849976,1111.041382,19250583.0,HDFC
2020-09-01,1128.0,1143.599976,1108.0,1127.300049,1122.442139,14438942.0,HDFC
2020-09-02,1124.099976,1139.0,1120.699951,1134.150024,1129.262573,9880841.0,HDFC
2020-09-03,1137.25,1145.949951,1128.0,1130.900024,1126.026611,9916681.0,HDFC
2020-09-04,1110.0,1125.400024,1104.400024,1119.300049,1114.4765630000002,11830685.0,HDFC
2020-09-07,1116.300049,1119.5,1099.0,1110.5,1105.7144779999999,8807733.0,HDFC
2020-09-08,1114.0,1118.800049,1103.0,1112.449951,1107.6560060000002,7312459.0,HDFC
2020-09-09,1101.0,1110.0,1091.25,1096.5,1091.77478,7864436.0,HDFC
2020-09-10,1103.0,1104.849976,1084.0,1090.550049,1085.850464,7594044.0,HDFC
2020-09-11,1096.449951,1104.849976,1071.0,1078.650024,1074.001709,10397365.0,HDFC
2020-09-14,1088.0,1094.0,1052.349976,1057.949951,1053.3908689999998,10825295.0,HDFC
2020-09-15,1068.0,1076.150024,1058.099976,1070.5,1065.886841,8252555.0,HDFC
2020-09-16,1070.199951,1096.0,1068.349976,1093.650024,1088.937134,9355056.0,HDFC
2020-09-17,1084.0,1094.0,1078.0,1083.599976,1078.930298,9159343.0,HDFC
2020-09-18,1092.0,1092.199951,1047.199951,1057.300049,1052.743774,11740889.0,HDFC
2020-09-21,1055.0,1071.349976,1041.5,1049.300049,1044.778198,9921439.0,HDFC
2020-09-22,1054.050049,1058.150024,1029.5,1035.400024,1030.93811,9310339.0,HDFC
2020-09-23,1046.0,1055.0,1034.349976,1047.25,1042.737061,8039914.0,HDFC
2020-09-24,1038.0,1047.0,1025.0,1030.400024,1025.959717,9904755.0,HDFC
